État,0,1,2
0,0.5541666666666666,0.6455128205128202,0.6333333333333333
1,0.6614814814814817,0.5115384615384615,0.5700000000000001
2,0.6435483870967739,0.6412499999999999,0.4156250000000001
3,0.25000000000000006,0.5,0.6720647773279349
4,0.6153846153846153,0.7234042553191489,0.7380952380952379
5,0.4,0.6326530612244897,0.6693548387096774
6,0.4285714285714286,0.4444444444444444,0.7065217391304349
7,0.0,0.0,0.5925925925925927
8,0.33333333333333337,0.6,0.7272727272727272
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
