État,0,1,2,3,4
0,0.8142857142857142,0.8233333333333333,0.475,0.57,0.42222222222222217
1,0.7599999999999999,0.6785714285714285,0.35625,0.7124999999999999,0.838235294117647
2,0.7388888888888888,0.8444444444444443,0.8312499999999999,0.95,0.7388888888888888
3,0.7916666666666665,0.6333333333333334,0.6649999999999999,0.6649999999999999,0.5277777777777778
4,0.95,0.7599999999999999,0.6785714285714285,0.95,0.5428571428571428
5,0.4444444444444444,1.0,0.0,0.0,0.0
6,0.12500000000000003,0.0,0.8181818181818182,0.0,0.0
7,0.2857142857142857,0.0,0.0,0.8,0.0
8,0.0,0.0,0.0,0.0,1.0
9,0.7777777777777778,0.2857142857142857,0.0,0.0,0.0
10,0.0,0.25000000000000006,0.9374999999999999,0.0,0.0
11,0.0,0.25,0.0,0.8888888888888888,0.0
12,0.0,0.0,0.0,0.0,0.9166666666666666
13,0.8333333333333334,0.0,0.25000000000000006,0.0,0.0
14,0.0,0.5555555555555556,0.125,0.0,0.0
15,0.0,0.0,0.0,0.7999999999999999,0.0
16,0.0,0.0,0.09090909090909093,0.0,0.8181818181818181
17,0.9166666666666666,0.0,0.0,0.11111111111111113,0.0
18,0.0,0.7777777777777778,0.0,0.0,0.0
19,0.0,0.0,1.0,0.23076923076923078,0.0
20,0.0,0.0,0.0,0.2727272727272727,1.0
21,0.6666666666666666,0.0,0.0,0.0,0.2
22,0.0,0.7777777777777778,0.0,0.0,0.17647058823529416
23,0.0,0.0,0.75,0.0,0.14285714285714288
24,0.0,0.0,0.0,0.8,0.2222222222222222
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
