État,0,1,2
0,0.9040322580645159,1.8555248618784508,-0.16515151515151516
1,0.7961691322910086,0.0,1.0
2,0.9214654639837115,0.12015720430278054,0.5022593226509998
3,0.05711166719499361,0.24397339414982744,0.35103259031569767
4,1.0,-1.0,0.0
5,0.5078134501674749,0.7573420062572715,0.884178567750236
6,0.8281926252739428,0.20428251180442014,0.6108867435511485
7,0.7281603381539646,1.0,-1.0
8,0.13928359430473647,0.7663249165408861,0.7417307977904516
9,0.5610877282303756,0.6968539343859823,0.748719710763684
10,0.0,0.0,0.0
